Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Acta Crystallographica. Section A, Foundations and Advances",0,Acta Crystallogr A Found Adv,,2053-2733,International Union of Crystallography,101620182,"v.75(Pt 1);Jan 1, 2019",v.70;2014,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A+Found+Adv%22%5Bjournal%5D
Acta Crystallographica Section B: Structural Science,0,Acta Crystallogr B,0108-7681,1600-5740,International Union of Crystallography,8403252,"v.67(Pt 6);Dec 1, 2011",v.64;2008,12 months,Some, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B%22%5Bjournal%5D
"Acta Crystallographica Section B, Structural Science, Crystal Engineering and Materials",0,Acta Crystallogr B Struct Sci Cryst Eng Mater,2052-5192,2052-5206,International Union of Crystallography,101609037,"v.74(Pt 6);Dec 1, 2018",v.69;2013,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B+Struct+Sci+Cryst+Eng+Mater%22%5Bjournal%5D
Acta Crystallographica Section C: Crystal Structure Communications,0,Acta Crystallogr C,0108-2701,1600-5759,International Union of Crystallography,8305826,"v.69(Pt 11);Nov 15, 2013",v.64;2008,12 months,Some, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C%22%5Bjournal%5D
"Acta Crystallographica. Section C, Structural Chemistry",0,Acta Crystallogr C Struct Chem,,2053-2296,International Union of Crystallography,101620313,"v.74(Pt 11);Nov 1, 2018",v.70;2014,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C+Struct+Chem%22%5Bjournal%5D
Acta Crystallographica Section D: Biological Crystallography,0,Acta Crystallogr D Biol Crystallogr,0907-4449,1399-0047,International Union of Crystallography,9305878,"v.71(Pt 12);Dec 1, 2015",v.55;1999,12 months,Some, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Biol+Crystallogr%22%5Bjournal%5D
"Acta Crystallographica. Section D, Structural Biology",0,Acta Crystallogr D Struct Biol,,2059-7983,International Union of Crystallography,101676043,"v.75(Pt 1);Jan 1, 2019",v.72;2016,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Struct+Biol%22%5Bjournal%5D
Acta Crystallographica Section E: Crystallographic Communications,0,Acta Crystallogr E Crystallogr Commun,,2056-9890,International Union of Crystallography,101648987,"v.75(Pt 1);Jan 1, 2019",v.71;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2659/
"Acta Crystallographica. Section F, Structural Biology Communications",0,Acta Crystallogr F Struct Biol Commun,,2053-230X,International Union of Crystallography,101620319,"v.75(Pt 1);Jan 1, 2019",v.70;2014,24 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2302/
Acta Crystallographica Section E: Structure Reports Online,0,Acta Crystallogr Sect E Struct Rep Online,,1600-5368,International Union of Crystallography,101089178,"v.70(Pt 12);Dec 1, 2014",v.64;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/524/
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,0,Acta Crystallogr Sect F Struct Biol Cryst Commun,,1744-3091,International Union of Crystallography,101226117,"v.69(Pt 12);Dec 1, 2013",v.61;2005,24 months or less,Some, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/381/
Acta Cytologica,0,Acta Cytol,0001-5547,1938-2650,Karger Publishers,370307,v.55(6);Dec 2011,v.55;2011,,No, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Cytol%22%5Bjournal%5D
Acta Haematologica,0,Acta Haematol,0001-5792,1421-9662,Karger Publishers,141053,v.127(3);Mar 2012,v.121;2009,,No, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Haematol%22%5Bjournal%5D
Acta Histochemica et Cytochemica,0,Acta Histochem Cytochem,0044-5991,1347-5800,Japan Society of Histochemistry and Cytochemistry,147110,"v.51(6);Dec 20, 2018",v.39;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/385/
Acta Informatica Medica,0,Acta Inform Med,0353-8109,1986-5988,"Academy of Medical Sciences of Bosnia and Herzegovina, Sarajevo, Bosnia and Herzegovina",101147064,v.26(4);Dec 2018,v.16;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1933/
Acta Medica Lituanica,0,Acta Med Litu,1392-0138,2029-4174,Lithuaniae Academia Scientiarum,9442465,v.25(2);2018,v.23;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2943/
Acta Myologica,0,Acta Myol,1128-2460,2532-1900,Pacini Editore,9811169,v.37(2);Jun 2018,v.26;2007,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1221/
Acta Naturae,0,Acta Naturae,2075-8251,,Park Media,101525823,v.10(4);Oct-Dec 2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1351/
Acta Neuropathologica Communications,0,Acta Neuropathol Commun,,2051-5960,BioMed Central,101610673,v.7;2019,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2200/
Acta Orthopaedica,0,Acta Orthop,1745-3674,1745-3682,Taylor &#x0026; Francis,101231512,v.89(6);Dec 2018,v.80;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1106/
Acta Orthopaedica et Traumatologica Turcica,0,Acta Orthop Traumatol Turc,1017-995X,2589-1294,Turkish Association of Orthopaedics and Traumatology,9424806,v.52(6);Nov 2018,v.50;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3544/
Acta Ortopedica Brasileira,0,Acta Ortop Bras,1413-7852,1809-4406,Brazilian Society of Orthopedics and Traumatology,9804509,v.26(3);May-Jun 2018,v.20;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2147/
Acta Otorhinolaryngologica Italica,0,Acta Otorhinolaryngol Ital,0392-100X,1827-675X,Pacini Editore,8213019,v.38(6);Dec 2018,v.25;2005,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/559/
Acta Pharmaceutica Sinica. B,0,Acta Pharm Sin B,2211-3835,2211-3843,Elsevier,101600560,v.8(6);Oct 2018,v.4;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2814/
Acta Pharmacologica Sinica,0,Acta Pharmacol Sin,1671-4083,1745-7254,Nature Publishing Group,100956087,v.40(2);Feb 2019,v.30;2009,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2405/
Acta Radiologica Open,0,Acta Radiol Open,,2058-4601,SAGE Publications,101651010,v.8(1);Jan 2019,v.4;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2704/
Acta Radiologica Short Reports,0,Acta Radiol Short Rep,,2047-9816,SAGE Publications,101586067,v.4(1);Jan 2015,v.1;2012,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2160/
Acta Stomatologica Croatica,0,Acta Stomatol Croat,0001-7019,1846-0410,University of Zagreb: School of Dental Medicine,253456,v.52(4);Dec 2018,v.48;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3005/
Acta Veterinaria Scandinavica,0,Acta Vet Scand,0044-605X,1751-0147,BioMed Central,370400,v.61;2019,v.42;2001,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/424/
Acute Medicine &#x0026; Surgery,0,Acute Med Surg,,2052-8817,Wiley-Blackwell,101635464,v.6(1);Jan 2019,v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3317/
Addictive Behaviors Reports,1,Addict Behav Rep,,2352-8532,Elsevier,101656077,v.9;Jun 2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3388/
Addiction &#x0026; Health,1,Addict Health,2008-4633,2008-8469,Farzanegan Radandish Co.,101582275,v.10(1);Jan 2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2281/
Addiction Science &#x0026; Clinical Practice,1,Addict Sci Clin Pract,1940-0632,1940-0640,BioMed Central,101316917,v.14;2019,v.4;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1002/
Adipocyte,0,Adipocyte,2162-3945,2162-397X,Taylor &#x0026; Francis,101567863,v.7(3);2018,v.1;2012,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1988/
"Adolescent Health, Medicine and Therapeutics",0,Adolesc Health Med Ther,,1179-318X,Dove Press,101576821,v.9;2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2328/
Advances and Applications in Bioinformatics and Chemistry : AABC,0,Adv Appl Bioinform Chem,,1178-6949,Dove Press,101550215,v.11;2018,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1575/
Advances in Bioinformatics,0,Adv Bioinformatics,1687-8027,1687-8035,Hindawi Limited,101515444,v.2018;2018,v.2008;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/984/
Advanced Biomedical Research,0,Adv Biomed Res,,2277-9175,Wolters Kluwer -- Medknow Publications,101586897,v.7;2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1925/
Advances in Cognitive Psychology,1,Adv Cogn Psychol,,1895-1171,University of Finance and Management in Warsaw,101283299,v.14(1);2018,v.3;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1206/
Advances in Dental Research,0,Adv Dent Res,0895-9374,1544-0737,International and American Associations for Dental Research,8802131,v.29(1);Feb 2018,v.23;2011,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Dent+Res%22%5Bjournal%5D
Advances in Hematology,0,Adv Hematol,1687-9104,1687-9112,Hindawi Limited,101504271,v.2019;2019,v.2009;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/993/
Advances in Medicine,0,Adv Med,2356-6752,2314-758X,Hindawi Limited,101651448,v.2019;2019,v.2014;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2828/
Advances in Medical Education and Practice,1,Adv Med Educ Pract,,1179-7258,Dove Press,101562700,v.10;2019,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2079/
Advances in Nutrition,0,Adv Nutr,2161-8313,2156-5376,American Society for Nutrition,101540874,v.9(6);Nov 2018,v.1;2010,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1420/
Advances in Orthopedics,0,Adv Orthop,2090-3464,2090-3472,Hindawi Limited,101565129,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1600/
Advanced Pharmaceutical Bulletin,0,Adv Pharm Bull,2228-5881,2251-7308,Tabriz University of Medical Sciences,101578021,v.8(4);Nov 2018,v.1;2011,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2246/
Advances in Pharmacological Sciences,0,Adv Pharmacol Sci,1687-6334,1687-6342,Hindawi Limited,101537654,v.2019;2019,v.2008;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1381/
Advances in Physiology Education,1,Adv Physiol Educ,1043-4046,1522-1229,American Physiological Society,100913944,"v.42(3);Sep 1, 2018",v.33;2009,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Physiol+Educ%22%5Bjournal%5D
Advances in Preventive Medicine,0,Adv Prev Med,2090-3480,2090-3499,Hindawi Limited,101564961,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1599/
Advances in Radiation Oncology,0,Adv Radiat Oncol,,2452-1094,Elsevier,101677247,v.4(1);Jan-Mar 2019,v.1;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3239/
Advanced Science,0,Adv Sci (Weinh),,2198-3844,Wiley-Blackwell,101664569,"v.6(2);Jan 23, 2019",v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2933/
Advances in Simulation,0,Adv Simul (Lond),,2059-0628,BioMed Central,101700425,v.3;2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3392/
Advances in Urology,0,Adv Urol,1687-6369,1687-6377,Hindawi Limited,101476240,v.2018;2018,v.2008;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/632/
Advances in Virology,0,Adv Virol,1687-8639,1687-8647,Hindawi Limited,101508613,v.2018;2018,v.2009;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1715/
Advances in Wound Care,0,Adv Wound Care (New Rochelle),2162-1918,2162-1934,"Mary Ann Liebert, Inc.",101590593,"v.8(1);Jan 1, 2019",v.1;2012,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Wound+Care+(New+Rochelle)%22%5Bjournal%5D
AEM Education and Training,1,AEM Educ Train,,2472-5390,Wiley-Blackwell,101722142,v.3(1);Jan 2019,v.1;2017,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3476/
The Aesculapian,0,Aesculapian,0898-1957,,Medical Library Association,14650100R,v.1(3-4);Jun 1909,v.1;1908,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/430/
Aesthetic Surgery Journal,0,Aesthet Surg J,1090-820X,1527-330X,Oxford University Press,9707469,v.39(1);Jan 2019,v.35;2015,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Aesthet+Surg+J%22%5Bjournal%5D
African Health Sciences,0,Afr Health Sci,1680-6905,1729-0503,Makerere University Medical School,101149451,v.18(3);Sep 2018,v.1;2001,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/378/
African Journal of Disability,0,Afr J Disabil,2223-9170,2226-7220,AOSIS,101623460,v.7;2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3215/
African Journal of Emergency Medicine,0,Afr J Emerg Med,2211-419X,2211-4203,African Federation for Emergency Medicine,101572277,v.8(4);Dec 2018,v.6;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3572/
African Journal of Infectious Diseases,0,Afr J Infect Dis,2006-0165,2505-0419,African Traditional Herbal Medicine Supporters Initiative,101578779,v.13(1);2019,v.4;2010,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1848/
African Journal of Laboratory Medicine,0,Afr J Lab Med,2225-2002,2225-2010,AOSIS,101603205,v.7(2);2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3216/
African Journal of Paediatric Surgery: AJPS,0,Afr J Paediatr Surg,0189-6725,0974-5998,Wolters Kluwer -- Medknow Publications,101255062,v.14(3);Jul-Sep 2017,v.12;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3011/
African Journal of Primary Health Care &#x0026; Family Medicine,0,Afr J Prim Health Care Fam Med,2071-2928,2071-2936,AOSIS,101520860,v.10(1);2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2761/
"African Journal of Traditional, Complementary, and Alternative Medicines",0,Afr J Tradit Complement Altern Med,0189-6016,2505-0044,African Traditional Herbal Medicine Supporters Initiative,101232990,v.14(4);2017,v.4;2007,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/970/
Age,0,Age (Dordr),0161-9152,1574-4647,American Aging Association,101250497,v.38(5-6);Dec 2016,v.27;2005,12 months or less,Some, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/518/
Age,0,Age (Omaha),,,American Aging Association,7801686,v.22(4);Oct 1999,v.20;1997,12 months,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1946/
Age and Ageing,0,Age Ageing,0002-0729,1468-2834,Oxford University Press,375655,v.48(1);Jan 2019,v.35;2006,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Age+Ageing%22%5Bjournal%5D
Aging (Albany NY),0,Aging (Albany NY),,1945-4589,"Impact Journals, LLC",101508617,v.11(1);Jan 2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1105/
Aging Cell,0,Aging Cell,1474-9718,1474-9726,Wiley-Blackwell,101130839,v.18(1);Feb 2019,v.10;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2481/
Aging and Disease,0,Aging Dis,,2152-5250,JKL International LLC,101540533,v.10(1);Feb 2019,v.1;2010,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1732/
AIDS Patient Care and STDs,0,AIDS Patient Care STDS,1087-2914,1557-7449,"Mary Ann Liebert, Inc.",9607225,"v.33(1);Jan 1, 2019",v.22;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIDS+Patient+Care+STDS%22%5Bjournal%5D
AIDS Research and Human Retroviruses,0,AIDS Res Hum Retroviruses,0889-2229,1931-8405,"Mary Ann Liebert, Inc.",8709376,"v.35(2);Feb 1, 2019",v.13;1997,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIDS+Res+Hum+Retroviruses%22%5Bjournal%5D
AIDS Research and Therapy,0,AIDS Res Ther,,1742-6405,BioMed Central,101237921,v.16;2019,v.1;2004,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/306/
AIDS Research and Treatment,0,AIDS Res Treat,2090-1240,2090-1259,Hindawi Limited,101553816,v.2019;2019,v.2010;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1487/
AIMS Public Health,0,AIMS Public Health,,2327-8994,AIMS Press,101635098,v.5(4);2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3313/
AIP Advances,0,AIP Adv,,2158-3226,American Institute of Physics,101566109,v.8(10);Oct 2018,v.1;2011,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIP+Adv%22%5Bjournal%5D
AJP Reports,0,AJP Rep,2157-6998,2157-7005,Thieme Medical Publishers,101569862,v.9(1);Jan 2019,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2047/
"Alcohol and Alcoholism (Oxford, Oxfordshire)",1,Alcohol Alcohol,0735-0414,1464-3502,Oxford University Press,8310684,v.54(1);Jan 2019,v.43;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Alcohol+Alcohol%22%5Bjournal%5D
Alcohol Research : Current Reviews,1,Alcohol Res,2168-3492,2169-4796,National Institute on Alcohol Abuse and Alcoholism,101594475,v.39(1);Jan 2018,v.34;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2195/
Alcohol Research &#x0026; Health,1,Alcohol Res Health,1535-7414,1930-0573,National Institute on Alcohol Abuse and Alcoholism,100900708,v.34(2);2011,v.30;2007,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2223/
Algorithms for Molecular Biology : AMB,0,Algorithms Mol Biol,,1748-7188,BioMed Central,101265088,v.13;2018,v.1;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/403/
Allergologie Select,0,Allergol Select,,2512-8957,Dustri-Verlag,101722686,v.1(2);2017,v.1;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3487/
"Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology",0,Allergy Asthma Clin Immunol,1710-1484,1710-1492,BioMed Central,101244313,v.15;2019,v.1;2005,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/992/
"Allergy, Asthma &#x0026; Immunology Research",0,Allergy Asthma Immunol Res,2092-7355,2092-7363,"Korean Academy of Asthma, Allergy and Clinical Immunology and Korean Academy of Pediatric Allergy and Respiratory Disease",101518382,v.11(2);Mar 2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1188/
Allergy and Asthma Proceedings,0,Allergy Asthma Proc,1088-5412,1539-6304,OceanSide Publications,9603640,v.40(1);Jan 2019,v.33;2012,Immediate,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Allergy+Asthma+Proc%22%5Bjournal%5D
Allergy &#x0026; Rhinology,0,Allergy Rhinol (Providence),2152-6575,2152-6567,SAGE Publications,101570968,v.10;Jan-Dec 2019,v.2;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1781/
"Alzheimer's &#x0026; Dementia : Diagnosis, Assessment &#x0026; Disease Monitoring",0,Alzheimers Dement (Amst),,2352-8729,Elsevier,101654604,v.11;Dec 2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3002/
Alzheimer's &#x0026; Dementia : Translational Research &#x0026; Clinical Interventions,0,Alzheimers Dement (N Y),,2352-8737,Elsevier,101650118,v.5;2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3303/
Alzheimer's Research &#x0026; Therapy,0,Alzheimers Res Ther,,1758-9193,BioMed Central,101511643,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/943/
American Health &#x0026; Drug Benefits,0,Am Health Drug Benefits,1942-2962,1942-2970,"Engage Healthcare Communications, LLC",101479877,v.11(9);Dec 2018,v.1;2008,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2442/
American Journal of Audiology,0,Am J Audiol,1059-0889,1558-9137,American Speech-Language-Hearing Association,9114917,v.27(1);Mar 2018,v.24;2015,6 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Audiol%22%5Bjournal%5D
American Journal of Blood Research,0,Am J Blood Res,,2160-1992,e-Century Publishing Corporation,101569577,v.8(4);2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1738/
American Journal of Cancer Research,0,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation,101549944,v.8(12);2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1608/
American Journal of Cardiovascular Disease,0,Am J Cardiovasc Dis,,2160-200X,e-Century Publishing Corporation,101569582,v.8(5);2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1695/
The American Journal of Case Reports,0,Am J Case Rep,,1941-5923,"International Scientific Information, Inc.",101489566,v.20;2019,v.13;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2001/
American Journal of Clinical and Experimental Immunology,0,Am J Clin Exp Immunol,,2164-7712,e-Century Publishing Corporation,101587157,v.7(6);2018,v.1;2012,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2149/
American Journal of Clinical and Experimental Urology,0,Am J Clin Exp Urol,,2330-1910,e-Century Publishing Corporation,101634566,v.6(6);2018,v.1;2013,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2623/
